unit	function	size	fuzzy	verdict	reason
mario/Animal/boid	calcBoids__11TBoidLeaderFv	2184	96.09	UNSUPPORTED	stack: access inside address-taken object differs (P 272 vs Q 128)
mario/Animal/AnimalBase	SMS_Eular2Quat__FRCQ29JGeometry8TVec3<f>	424	96.97	DIFFERENT	block 0 return value f1 differs (0x1444 'bclr 20,lt,0')
mario/Animal/AnimalBase	init__11TAnimalBaseFP12TLiveManager	656	99.82	EQUIVALENT	L1: frame 152/112
mario/Animal/AnimalBase	perform__11TAnimalBaseFUlPQ26JDrama9TGraphics	824	92.54	UNSUPPORTED	stack: address-taken object layout differs (P 120 vs Q 120)
mario/Animal/AnimalBase	MsClamp<f>__Ffff	32	0.00	UNSUPPORTED	ours: symbol missing
mario/Animal/AnimalBase	execWalk__11TAnimalBaseFb	1020	90.25	UNSUPPORTED	cfg: 22 vs 26 blocks
mario/Animal/Bird	load__11TAnimalBirdFR20JSUMemoryInputStream	340	99.96	UNSUPPORTED	stack: address-taken object extent differs (P 52..72 vs Q 48..72)
mario/Animal/Bird	receiveMessage__11TAnimalBirdFP9THitActorUl	932	99.97	EQUIVALENT	L1
mario/Animal/Bird	moveObject__11TAnimalBirdFv	956	97.78	UNSUPPORTED	cfg: 55 vs 57 blocks
mario/Animal/Bird	doFlyToCurPathNode__11TAnimalBirdFv	896	95.35	DIFFERENT	block 9 effect 8 icall args differ: f1/f2/f3/f4/f5/f6/f7/f8: 0x276c 'bclrl 20,lt,0' vs 0x2f9c 'bclrl 20,lt,0'
mario/Animal/Bird	doLanding__11TAnimalBirdFb	964	93.40	DIFFERENT	block 6 effect 2 icall args differ: f4/f5/f6/f7/f8: 0x22ac 'bclrl 20,lt,0' vs 0x2944 'bclrl 20,lt,0'
mario/Animal/Bird	execute__28TNerveAnimalBirdWaitOnGroundCFP24TSpineBase<10TLiveActor>	680	99.94	EQUIVALENT	L1
mario/Animal/Bird	execute__28TNerveAnimalBirdWalkOnGroundCFP24TSpineBase<10TLiveActor>	896	93.12	UNSUPPORTED	stack: access inside address-taken object differs (P 72 vs Q 56)
mario/Animal/Bird	execute__27TNerveAnimalBirdGraphWanderCFP24TSpineBase<10TLiveActor>	800	99.76	EQUIVALENT	L1: frame 160/184
mario/Animal/BeeHive	reset__8TBeeHiveFv	936	99.80	EQUIVALENT	L1: frame 304/320
mario/Animal/BeeHive	load__8TBeeHiveFR20JSUMemoryInputStream	496	95.79	UNSUPPORTED	stack: address-taken object extent differs (P 80..208 vs Q 52..184)
mario/Animal/BeeHive	receiveMessage__8TBeeHiveFP9THitActorUl	920	98.80	UNSUPPORTED	stack: address-taken object layout differs (P 136 vs Q 120)
mario/Animal/BeeHive	bind__8TBeeHiveFv	608	99.78	EQUIVALENT	L1
mario/Animal/BeeHive	controlCollision__8TBeeHiveFv	192	89.58	EQUIVALENT	L2: saved 4/3 regs
mario/Animal/BeeHive	setSQ__Q29JGeometry64TRotation3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>FRCQ29JGeometry8TVec3<f>RCQ29JGeometry9TQuat4<f>	256	91.05	DIFFERENT	block 0 effect 2 address differs: 0x20a8 'lfs f7,0(r5)' vs 0x2f40 'lfs f0,12(r5)'
mario/Animal/BeeHive	doWait__8TBeeHiveFv	1676	95.47	UNSUPPORTED	stack: unpaired address-taken slot
mario/Animal/BeeHive	getCenterOfGravity__8TBeeHiveCFv	812	85.90	UNSUPPORTED	cfg: 11 vs 10 blocks
mario/Animal/BeeHive	execute__17TNerveBeeHiveWaitCFP24TSpineBase<10TLiveActor>	640	97.87	DIFFERENT	block 5 effect 12 address differs: 0x100c 'lwz r5,336(r31)' vs 0x12bc 'lwz r4,16(r31)'
mario/Animal/BeeHive	execute__18TNerveBeeHiveBreakCFP24TSpineBase<10TLiveActor>	660	93.99	UNSUPPORTED	stack: unpaired address-taken slot
mario/Animal/BeeHive	execute__19TNerveBeeHiveAttackCFP24TSpineBase<10TLiveActor>	912	95.61	UNSUPPORTED	stack: unpaired address-taken slot
mario/Animal/BeeHive	execute__25TNerveBeeHiveMarioWaterInCFP24TSpineBase<10TLiveActor>	748	94.50	UNSUPPORTED	stack: unpaired address-taken slot
mario/MSound/MAnmSound	startAnimSound__12MAnmSoundNPCFPvUlPP8JAISoundP8JAIActorUc	600	99.50	EQUIVALENT	L1
mario/MSound/MSound	setParameterSeqSync__12MSSeCallBackFPQ28JASystem6TTrackUs	1292	98.75	DIFFERENT	block 72 return value r4 differs (0x2ba0 'bclr 20,lt,0')
mario/MSound/MSound	exitStage__6MSoundFv	320	99.92	EQUIVALENT	L1
mario/MSound/MSound	__ct__6MSoundFP7JKRHeapP7JKRHeapUlPUcPUcUl	836	99.78	EQUIVALENT	L1: frame 136/128
mario/MSound/MSound	startMarioVoice__6MSoundFUlsUc	1768	99.82	UNSUPPORTED	stack: address-taken object extent differs (P 88..160 vs Q 52..120)
mario/MSound/MSoundScene	frameLoop__9MSSceneSEFUlP3VecUc	1048	96.82	DIFFERENT	block 25 effect 1 address differs: 0x3cc 'lwz r0,1064(r25)' vs 0x3d8 'lwz r0,0(r26)'
