size	fuzzy	unit	function
13064	99.19	GC2D/CardSave	execMovement___9TCardSaveFv
8900	99.98	Player/MarioReceiveMsg	receiveMessage__6TMarioFP9THitActorUl
7452	99.95	System/MarNameRefGen	getNameRef__14TMarNameRefGenCFPCc
6796	99.07	GC2D/CardSave	waitForChoiceBM__9TCardSaveF10TEProgress10TEProgressSc
6480	99.07	GC2D/CardLoad	selectFunction__9TCardLoadFv
6060	99.68	GC2D/SelectMenu	perform__11TSelectMenuFUlPQ26JDrama9TGraphics
5956	99.96	GC2D/CardLoad	changeScene__9TCardLoadFv
5128	99.64	GC2D/GCConsole2	loadAfter__11TGCConsole2Fv
4828	99.99	MSound/MSoundSE	construct__Q214MSoundSESystem8MSoundSEFv
4712	99.90	GC2D/CardSave	initData__9TCardSaveFP13TMarioGamePad
4432	99.75	Enemy/enemyMario	initEnemyValues__11TEnemyMarioFv
4384	99.63	GC2D/SelectDir	rsetup__10TSelectDirFv
4224	99.98	Player/MarioJump	jumpMain__6TMarioFv
3984	99.64	Player/MarioDraw	initModel__6TMarioFv
3892	99.38	GC2D/SelectMenu	initData__11TSelectMenuFUcP10JKRArchiveP19TSelectShineManagerP10TSelectDir
3776	99.84	GC2D/GCConsole2	load__11TGCConsole2FR20JSUMemoryInputStream
3740	99.61	JSystem/JAudio/JAInterface/JAIGFrameSequence	checkPlayingSeqTrack__8JAIBasicFUl
3624	99.79	GC2D/CardLoad	perform__9TCardLoadFUlPQ26JDrama9TGraphics
3532	99.99	Player/MarioSpecial	specMain__6TMarioFv
3380	99.64	Player/Yoshi	movement__6TYoshiFv
3176	99.81	NPC/NpcAnm	npcWetting__8TBaseNPCFv
3168	99.22	GC2D/Guide	linkSelect__6TGuideFv
3088	99.65	Enemy/bosspakkun	execute__12TNerveBPWaitCFP24TSpineBase<10TLiveActor>
3084	99.75	System/MarDirectorInitECT	initECDisp__12TMarDirectorFP12TPerformListPQ26JDrama55TViewObjPtrListT<Q26JDrama8TViewObj,Q26JDrama8TViewObj>PQ26JDrama55TViewObjPtrListT<Q26JDrama8TViewObj,Q26JDrama8TViewObj>
3000	99.17	GC2D/Talk2D2	setTagParam__8TTalk2D2FR20JSUMemoryInputStreamR10J2DTextBoxPiPi
2928	99.17	Player/MarioDraw	calcBaseMtx__6TMarioFPA4_f
2888	99.99	GC2D/CardLoad	titleDraw__9TCardLoadFv
2816	99.52	Enemy/bosseel	init__8TBossEelFP12TLiveManager
2724	99.67	Player/Yoshi	init__6TYoshiFP6TMario
2636	99.91	GC2D/CardLoad	setupScoreScreen__9TCardLoadFv
2604	99.92	MarioUtil/ShadowUtil	drawShadow__19TMBindShadowManagerFUlPQ26JDrama9TGraphics
2588	99.33	Player/MarioRun	moveMain__6TMarioFv
2544	99.99	Camera/CameraChange	execCameraModeChangeProc___15CPolarSubCameraFi
2512	99.74	System/MSoundMainSide	setMSoundEnterStage__10MSMainProcFUcUc
2408	99.82	Map/BathWaterManager	render__22TBathWaterFlatRendererFPQ26JDrama9TGraphicsRC12TBathtubDataPP10TBathWaterPP16TBathWaterParamsi
2368	99.39	GC2D/PauseMenu2	perform__11TPauseMenu2FUlPQ26JDrama9TGraphics
2336	99.08	GC2D/GCConsole2	startCameraDemo__11TGCConsole2Fv
2316	99.77	System/MenuDir	rsetup__13TMenuDirectorFv
2280	99.99	Player/ModelWaterManager	drawWaterVolume__18TModelWaterManagerFPA4_f
2240	99.87	Enemy/bossgesso	init__10TBossGessoFP12TLiveManager
2208	99.90	Enemy/hamukuri	walkBehavior__13THaneHamuKuriFif
2200	99.34	System/MovieDirector	direct__14TMovieDirectorFv
2188	99.93	MarioUtil/ShadowUtil	drawShadowVolume__19TMBindShadowManagerFbP16TAlphaShadowQuad
2184	99.80	System/MarDirectorDirect	updateGameMode__12TMarDirectorFv
2168	99.64	MoveBG/ModelGate	loadAfter__10TModelGateFv
2148	99.97	Player/MarioMain	perform__6TMarioFUlPQ26JDrama9TGraphics
2132	99.93	Enemy/enemyMario	consider__11TEnemyMarioFv
2116	99.98	MoveBG/MapObjInit	initUnique__11TMapObjBaseFv
2096	99.58	Camera/cameragc	loadAfter__15CPolarSubCameraFv
2080	99.93	GC2D/CardLoad	drawMessageBM__9TCardLoadF10TEProgress
1980	99.52	Enemy/bgtentacle	calc__18TBGTentacleMtxCalcFUs
1968	99.88	Enemy/tamaNoko	execute__20TNerveTamaNokoAttackCFP24TSpineBase<10TLiveActor>
1952	99.77	MarioUtil/ScreenUtil	perform__12TAfterEffectFUlPQ26JDrama9TGraphics
1944	99.86	Strategic/liveinterp	linGetSRT__FP29TSpcTypedInterp<10TLiveActor>Ul
1936	99.63	Player/MarioRun	running__6TMarioFv
1936	99.57	Enemy/bosswanwan	init__11TBossWanwanFP12TLiveManager
1932	99.93	Enemy/bosstelesa	init__11TBossTelesaFP12TLiveManager
1932	99.53	Player/WaterGun	animation__13TNozzleDeformFi
1888	99.68	Enemy/gatekeeper	init__17TBiancoGateKeeperFP12TLiveManager
1872	99.76	JSystem/J3D/J3DGraphAnimator/J3DCluster	deform__11J3DDeformerFP8J3DModelUsPf
1856	99.99	PowerPC_EABI_Support/Msl/MSL_C/MSL_Common_Embedded/Math/Single_precision/exponentialsf	powf
1852	99.95	MoveBG/MapObjMonte	drawRopeBetweenBoards__14THangingBridgeCFfi
1844	99.68	Enemy/BossHanachanParts	considerSetAnm___22TBossHanachanPartsBaseF24EnumBossHanachanNerveAnm
1836	99.63	Enemy/bosspakkun	perform__10TBPTornadoFUlPQ26JDrama9TGraphics
1824	99.57	GC2D/Guide	perform__6TGuideFUlPQ26JDrama9TGraphics
1820	99.93	Enemy/bossgesso	execute__12TNerveBGRollCFP24TSpineBase<10TLiveActor>
1812	99.90	Enemy/bossgesso	execute__11TNerveBGDieCFP24TSpineBase<10TLiveActor>
1812	99.58	Enemy/hinokuri2	moveObject__10THinokuri2Fv
1808	99.97	Enemy/gesso	execute__15TNerveGessoFallCFP24TSpineBase<10TLiveActor>
1808	99.20	System/GCLogoDir	setup__10TGCLogoDirFPQ26JDrama8TDisplayP13TMarioGamePad
1768	99.82	MSound/MSound	startMarioVoice__6MSoundFUlsUc
1712	99.79	Enemy/bossManta	drawMantaShadow__17TBossMantaManagerFPQ26JDrama9TGraphics
1668	99.99	Player/MarioJump	jumpingBasic__6TMarioFiii
1668	99.93	Player/MarioCap	perform__9TMarioCapFUlPQ26JDrama9TGraphics
1652	99.61	Camera/CameraChange	changeCamModeSub___15CPolarSubCameraFiib
1652	99.46	System/EventWatcher	evSetTransScale__FP32TSpcTypedInterp<13TEventWatcher>Ul
1652	99.44	Player/MarioDraw	calcAnim__6TMarioFUlPQ26JDrama9TGraphics
1648	99.22	NPC/NpcChange	changeNerveProc___8TBaseNPCFv
1644	99.91	Enemy/BossHanachanAnm	changeAnmRateAndFrameUpdate___13TBossHanachanFv
1640	99.48	Enemy/bosstelesa	execute__27TNerveBossTelesaPrepareSlotCFP24TSpineBase<10TLiveActor>
1632	99.42	GC2D/GCConsole2	drawWater__11TGCConsole2FR13J2DOrthoGraph
1624	99.14	Enemy/bossgesso	perform__10TBGBeakHitFUlPQ26JDrama9TGraphics
1608	99.78	Player/MarioMove	checkGraffito__6TMarioFv
1588	99.94	Enemy/bosseel	execute__16TNerveBossEelEatCFP24TSpineBase<10TLiveActor>
1584	99.95	MoveBG/MapObjBall	control__11TResetFruitFv
1560	99.91	Enemy/enemyMario	initModel__11TEnemyMarioFv
1556	99.97	Enemy/cannon	execute__18TNerveCannonDamageCFP24TSpineBase<10TLiveActor>
1536	99.95	MoveBG/Item	control__6TShineFv
1508	99.81	Enemy/cannon	init__7TCannonFP12TLiveManager
1496	99.13	M3DUtil/MActorData	init__13MActorAnmDataFPCcPPCc
1484	99.85	JSystem/JAudio/JALibrary/JALModSe	append__9JALSystemFQ29JALSystem7ModTypePCcUlfffffQ27JALCalc9CurveSignffUc
1472	99.82	Enemy/enemyMario	checkController__11TEnemyMarioFPQ26JDrama9TGraphics
1468	99.76	Player/MarioJump	hipAttacking__6TMarioFv
1460	99.96	Enemy/bosseel	execute__20TNerveBossEelOutWaitCFP24TSpineBase<10TLiveActor>
1456	99.56	Enemy/enemyMario	perform__11TEnemyMarioFUlPQ26JDrama9TGraphics
1452	99.29	Enemy/graph	__ct__11TSplineRailFPC9TGraphWeb
