category	unit	fuzzy%	size	demangled	symbol	vaddr
game	mario/Animal/AnimalBase	0.00	32	MsClamp<float>(float, float, float)	MsClamp<f>__Ffff	2147517492
game	mario/Enemy/pakkun	0.00	16	JGeometry::TVec3<float>::set<float>(float, float, float)	set<f>__Q29JGeometry8TVec3<f>Ffff	2147909260
game	mario/Enemy/bossgesso	0.00	8	SMS_GetMarioPos()	SMS_GetMarioPos__Fv	2147971180
game	mario/Enemy/bosswanwan	0.00	44	TMapCollisionBase::setMtx(float(*)[4])	setMtx__17TMapCollisionBaseFPA4_f	2148158772
game	mario/Enemy/igaiga	0.00	72	MsWrap<float>(float, float, float)	MsWrap<f>__Ffff	2148216640
game	mario/Enemy/Kukku	0.00	16	JGeometry::TVec3<float>::set<float>(float, float, float)	set<f>__Q29JGeometry8TVec3<f>Ffff	2148703036
game	mario/NPC/NpcNerve	0.00	8	TGraphTracer::getCurGraphIndex() const	getCurGraphIndex__12TGraphTracerCFv	2149635348
game	mario/MarioUtil/ShadowUtil	0.00	260	TMBindShadowManager::TSetup1$2172ShadowUtil_cpp::makeDL()	makeDL__Q219TMBindShadowManager26TSetup1$2172ShadowUtil_cppFv	2149789732
game	mario/MarioUtil/ShadowUtil	0.00	2884	TMBindShadowManager::TCylinder$2171ShadowUtil_cpp::makeDL()	makeDL__Q219TMBindShadowManager28TCylinder$2171ShadowUtil_cppFv	2149786792
game	mario/MarioUtil/ShadowUtil	0.00	96	TMBindShadowManager::TSetup2$2190ShadowUtil_cpp::makeDL()	makeDL__Q219TMBindShadowManager26TSetup2$2190ShadowUtil_cppFv	2149786696
game	mario/MarioUtil/ShadowUtil	0.00	84	TMBindShadowManager::TSetup3$2195ShadowUtil_cpp::makeDL()	makeDL__Q219TMBindShadowManager26TSetup3$2195ShadowUtil_cppFv	2149786612
game	mario/MarioUtil/ShadowUtil	0.00	96	TMBindShadowManager::TSetup4$2207ShadowUtil_cpp::makeDL()	makeDL__Q219TMBindShadowManager26TSetup4$2207ShadowUtil_cppFv	2149786516
game	mario/MarioUtil/ShadowUtil	0.00	96	TMBindShadowManager::TSetup5$2216ShadowUtil_cpp::makeDL()	makeDL__Q219TMBindShadowManager26TSetup5$2216ShadowUtil_cppFv	2149786420
game	mario/MarioUtil/ShadowUtil	0.00	8	J3DShapeMtx::getUseMtxNum() const	getUseMtxNum__11J3DShapeMtxCFv	2149783232
game	mario/MarioUtil/ShadowUtil	0.00	8	J3DShapeMtx::getUseMtxIndex(unsigned short) const	getUseMtxIndex__11J3DShapeMtxCFUs	2149783224
game	mario/MarioUtil/ShadowUtil	0.00	100	TMBindShadowManager::TSetup1$2172ShadowUtil_cpp::~TSetup1$2172ShadowUtil_cpp()	__dt__Q219TMBindShadowManager26TSetup1$2172ShadowUtil_cppFv	2149778808
game	mario/MarioUtil/ShadowUtil	0.00	100	TMBindShadowManager::TCylinder$2171ShadowUtil_cpp::~TCylinder$2171ShadowUtil_cpp()	__dt__Q219TMBindShadowManager28TCylinder$2171ShadowUtil_cppFv	2149778708
game	mario/MarioUtil/ShadowUtil	0.00	100	TMBindShadowManager::TSetup2$2190ShadowUtil_cpp::~TSetup2$2190ShadowUtil_cpp()	__dt__Q219TMBindShadowManager26TSetup2$2190ShadowUtil_cppFv	2149778608
game	mario/MarioUtil/ShadowUtil	0.00	100	TMBindShadowManager::TSetup3$2195ShadowUtil_cpp::~TSetup3$2195ShadowUtil_cpp()	__dt__Q219TMBindShadowManager26TSetup3$2195ShadowUtil_cppFv	2149778508
game	mario/MarioUtil/ShadowUtil	0.00	100	TMBindShadowManager::TSetup4$2207ShadowUtil_cpp::~TSetup4$2207ShadowUtil_cpp()	__dt__Q219TMBindShadowManager26TSetup4$2207ShadowUtil_cppFv	2149778408
game	mario/MarioUtil/ShadowUtil	0.00	100	TMBindShadowManager::TSetup5$2216ShadowUtil_cpp::~TSetup5$2216ShadowUtil_cpp()	__dt__Q219TMBindShadowManager26TSetup5$2216ShadowUtil_cppFv	2149778308
game	mario/Enemy/koopajr	3.89	72	TKoopaJrSubmarineManager::createEnemyInstance()	createEnemyInstance__24TKoopaJrSubmarineManagerFv	2148627620
game	mario/Enemy/Koopa	18.43	196	TKoopaFlame::attack_(THitActor*)	attack___11TKoopaFlameFP9THitActor	2148689104
game	mario/System/MarNameRefGen	60.22	1280	JGadget::TVector<TCameraMapTool, JGadget::TAllocator<TCameraMapTool>>::InsertRaw(TCameraMapTool*, unsigned long)	InsertRaw__Q27JGadget66TVector<14TCameraMapTool,Q27JGadget28TAllocator<14TCameraMapTool>>FP14TCameraMapToolUl	2150239268
game	mario/Enemy/koopajr	69.88	160	TDirectionCalc::calcNearerDirection(float)	calcNearerDirection__14TDirectionCalcFf	2148646316
game	mario/Enemy/pakkun	80.09	212	TStayPakkun::load(JSUMemoryInputStream&)	load__11TStayPakkunFR20JSUMemoryInputStream	2147909048
game	mario/Player/MarioParticle	80.23	388	TWarpInCallBack::execute(JPABaseEmitter*, JPABaseParticle*)	execute__15TWarpInCallBackFP14JPABaseEmitterP15JPABaseParticle	2149988636
game	mario/Enemy/Koopa	81.67	780	TKoopa::calcRootMatrix()	calcRootMatrix__6TKoopaFv	2148673608
game	mario/Animal/BeeHive	85.90	812	TBeeHive::getCenterOfGravity() const	getCenterOfGravity__8TBeeHiveCFv	2147548032
game	mario/Map/MapWire	85.94	412	TMapWire::getPosInWire(const JGeometry::TVec3<float>&) const	getPosInWire__8TMapWireCFRCQ29JGeometry8TVec3<f>	2149152336
game	mario/Enemy/Kukku	86.49	1088	TKukku::dropCoins()	dropCoins__6TKukkuFv	2148703988
game	mario/Enemy/BathtubKiller	86.98	400	TNerveBathtubKillerStraight::execute(TSpineBase<TLiveActor>*) const	execute__27TNerveBathtubKillerStraightCFP24TSpineBase<10TLiveActor>	2148726892
game	mario/MoveBG/MapObjInit	87.09	172	TMapObjBase::initMActor(const char*, const char*, unsigned long)	initMActor__11TMapObjBaseFPCcPCcUl	2149261424
game	mario/Enemy/Kazekun	87.64	1316	TKazekun::doAttackPose(bool)	doAttackPose__8TKazekunFb	2148588860
game	mario/MoveBG/MapObjCorona	87.82	308	TBathtub::calcRootMatrix()	calcRootMatrix__8TBathtubFv	2149555632
game	mario/Enemy/BathtubKiller	88.09	368	TBathtubKiller::setMActorAndKeeper()	setMActorAndKeeper__14TBathtubKillerFv	2148740896
game	mario/System/EventWatcher	88.54	900	evIsNearActors(TSpcTypedInterp<TEventWatcher>*, unsigned long)	evIsNearActors__FP32TSpcTypedInterp<13TEventWatcher>Ul	2150176812
game	mario/MoveBG/MapObjPollution	88.84	172	TMapObjRevivalPollution::loadAfter()	loadAfter__23TMapObjRevivalPollutionFv	2149484800
