unit	function	pct	size	retail_frame	our_frame	gap	stackrows
mario/Animal/AnimalBase	TAnimalBase::init(TLiveManager*)	99.823	656	0x98	0x70	0x28	29
mario/Animal/Bird	TAnimalBird::load(JSUMemoryInputStream&)	99.965	340	0x48	0x48	0x0	3
mario/Animal/Bird	TAnimalBird::receiveMessage(THitActor*, unsigned long)	99.966	932	0x78	0x78	0x0	8
mario/Animal/Bird	TNerveAnimalBirdGraphWander::execute(TSpineBase<TLiveActor>*) const	99.760	800	0xa0	0xb8	-0x18	48
mario/Animal/BeeHive	TBeeHive::bind()	99.783	608	0x68	0x68	0x0	33
mario/MSound/MSound	MSound::exitStage()	99.925	320	0x40	0x40	0x0	6
mario/MSound/MSoundSE	__sinit_MSoundSE_cpp	99.967	856	0x38	0x10	0x28	7
mario/MSound/MSoundSE	MSSetSoundTL<MSSetSoundGrp>::MSSetSoundTL(unsigned long, const char*, MSSetSoundGrp*, unsigned char, unsigned char, unsigned char, unsigned char, float, unsigned char, float, float, float, float, float, long, float, long, float, float, float, bool)	99.793	600	0x128	0xc0	0x68	31
mario/MSound/MSoundSE	MSoundSESystem::MSRandVol::MSRandVol(unsigned long)	99.833	168	0x20	0x18	0x8	7
mario/MSound/MSoundSE	MSoundSESystem::MSRandPlay::MSRandPlay(unsigned long, long, long, float, float)	99.625	160	0x48	0x40	0x8	15
mario/MSound/MSoundSE	MSoundSESystem::MSRandPlay::randPlay(unsigned long)	99.956	452	0x40	0x40	0x0	5
mario/MSound/MSoundSE	MSoundSESystem::MSoundSE::construct()	99.998	4828	0xa0	0xa0	0x0	2
mario/MSound/MSoundSE	MSoundSESystem::MSoundSE::startSoundActorWithInfo(unsigned long, const Vec*, Vec*, float, unsigned long, unsigned long, JAISound**, unsigned long, unsigned char)	99.917	624	0x88	0x88	0x0	13
mario/MSound/MSoundSE	MSoundSESystem::MSoundSE::checkSoundArea(unsigned long, const Vec&)	99.724	348	0x58	0x58	0x0	24
mario/MSound/MSoundSE	MSoundSESystem::MSoundSE::startSoundActorInner(unsigned long, JAISound**, JAIActor*, unsigned long, unsigned char)	99.979	960	0x58	0x50	0x8	5
mario/MSound/MSoundSE	MSoundSESystem::MSoundSE::startSoundNpcActor(unsigned long, const Vec*, unsigned long, JAISound**, unsigned long, unsigned char)	99.721	272	0x88	0x78	0x10	19
mario/MSound/MSoundStruct	MSSetSoundTL<MSSetSound>::MSSetSoundTL(unsigned long, const char*, MSSetSound*, unsigned char, unsigned char, unsigned char, unsigned char, float, unsigned char, float, float, float, float, float, long, float, long, float, float, float, bool)	99.793	600	0x128	0xc0	0x68	31
mario/Camera/CameraBGCheck	CPolarSubCamera::execWallCheck_(Vec*)	99.872	564	0xb0	0xb0	0x0	3
mario/Camera/CameraBGCheck	CPolarSubCamera::execGroundCheck_(Vec)	99.976	336	0x50	0x50	0x0	2
mario/Camera/CameraChange	CPolarSubCamera::execCameraModeChangeProc_(int)	99.992	2544	0x100	0xb0	0x50	5
mario/Camera/CameraNotice	CPolarSubCamera::ctrlLButtonCamera_()	99.788	528	0x70	0x50	0x20	28
mario/Enemy/emario	TEMario::load(JSUMemoryInputStream&)	99.894	720	0xf0	0xa8	0x48	19
mario/Enemy/emario	TEMario::init(TLiveManager*)	99.917	436	0x88	0x60	0x28	9
mario/Enemy/enemy	TSpineBase<TLiveActor>::update()	99.924	264	0x18	0x20	-0x8	5
mario/Enemy/enemy	TSpineEnemy::goToShortestNextGraphNode()	99.781	292	0xb8	0xb8	0x0	16
mario/Enemy/enemy	TSpineEnemy::jumpToNextGraphNode()	99.778	288	0xc0	0xc0	0x0	16
mario/Enemy/enemy	TSpineEnemy::goToRandomNextGraphNode()	99.754	260	0x98	0x98	0x0	16
mario/Enemy/enemy	TSpineEnemy::goToRandomEscapeGraphNode()	99.758	264	0x90	0x90	0x0	16
mario/Enemy/enemy	TSpineEnemy::goToExclusiveNextGraphNode()	99.755	588	0x170	0x160	0x10	36
mario/Enemy/enemy	TSpineEnemy::goToDirectedNextGraphNode(const JGeometry::TVec3<float>&)	99.696	276	0x98	0x90	0x8	21
mario/Enemy/enemy	TSpineEnemy::goToDirLimitedNextGraphNode(float)	99.852	432	0xd8	0xd8	0x0	16
mario/Enemy/enemy	TSpineEnemy::doShortCut()	99.635	800	0xb0	0xb0	0x0	73
mario/Enemy/enemyAttachment	TEnemyAttachment::bind()	99.956	640	0x78	0x78	0x0	7
mario/Enemy/enemyAttachment	TEnemyPolluteModelManager::generatePolluteModel(JGeometry::TVec3<float>&, JGeometry::TVec3<float>&)	99.918	392	0x98	0x98	0x0	8
mario/Enemy/enemymanager	TEnemyManager::createEnemies(int)	99.718	340	0xb0	0x98	0x18	24
mario/Enemy/enemyMario	TEnemyMario::initModel()	99.913	1560	0x2f8	0x2a0	0x58	34
mario/Enemy/enemyMario	TEnemyMario::emWaiting()	99.871	280	0x38	0x40	-0x8	9
mario/Enemy/enemyMario	TEnemyMario::emRunAwayToNearestNode()	99.837	1248	0x128	0x128	0x0	51
mario/Enemy/enemyMario	TEnemyMario::emWaitingToInviteMario()	99.913	412	0xa8	0xa8	0x0	9
mario/Enemy/enemyMario	TEnemyMario::consider()	99.932	2132	0x220	0x238	-0x18	36
mario/Enemy/gesso	TGessoManager::initSetEnemies()	99.787	188	0xe8	0x20	0xc8	10
mario/Enemy/gesso	TGessoPolluteObj::set()	99.737	320	0x70	0x78	-0x8	21
mario/Enemy/gesso	TNerveGessoFreeze::execute(TSpineBase<TLiveActor>*) const	99.804	1100	0xa8	0xa0	0x8	54
mario/Enemy/gesso	TNerveGessoFall::execute(TSpineBase<TLiveActor>*) const	99.969	1808	0xc8	0xc8	0x0	14
mario/Enemy/graph	TSplineRail::TSplineRail(const TGraphWeb*)	99.680	1452	0x188	0x140	0x48	116
mario/Enemy/graph	TSplineRail::getPosAndRot(float, JGeometry::TVec3<float>*, JGeometry::TVec3<float>*)	99.603	564	0xf8	0xe8	0x10	56
mario/Enemy/graph	TGraphWeb::getRandomButDirLimited(int, int, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, float, unsigned long) const	99.985	1068	0x138	0x138	0x0	4
mario/Enemy/graph	TGraphWeb::getEscapeDirLimited(int, int, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, float, unsigned long) const	99.941	1148	0x148	0x148	0x0	17
mario/Enemy/graph	TGraphGroup::initGraphGroup()	99.901	484	0xc0	0xc0	0x0	12
mario/Enemy/hamukuri	THamuKuri::bind()	99.954	608	0x68	0x68	0x0	7
mario/Enemy/hamukuri	THamuKuri::jumpToSearchActor()	99.807	436	0x68	0x60	0x8	21
mario/Enemy/hamukuri	THamuKuri::getTakingMtx()	99.672	256	0xe0	0xb8	0x28	21
mario/Enemy/hamukuri	THamuKuri::forceRoll(JGeometry::TVec3<float>, bool)	99.891	516	0xb0	0xb0	0x0	14
mario/Enemy/hamukuri	THaneHamuKuri::bind()	99.942	480	0x48	0x48	0x0	7
mario/Enemy/hamukuri	TDangoHamuKuri::receiveMessage(THitActor*, unsigned long)	99.945	512	0x48	0x28	0x20	7
mario/Enemy/hamukuri	TDangoHamuKuri::behaveToWater(THitActor*)	99.976	1184	0xc0	0xc0	0x0	7
mario/Enemy/hamukuri	TNerveHaneHamuKuriMoveOnGraph::execute(TSpineBase<TLiveActor>*) const	99.849	768	0x148	0x148	0x0	29
mario/Enemy/hinokuri2	THino2MtxCalc::calc(unsigned short)	99.967	856	0x148	0x148	0x0	7
mario/Enemy/hinokuri2	THinokuri2::init(TLiveManager*)	99.846	1376	0x1f8	0x1c8	0x30	53
mario/Enemy/hinokuri2	TNerveHino2GraphWander::execute(TSpineBase<TLiveActor>*) const	99.907	1248	0x110	0xf0	0x20	29
mario/Enemy/hinokuri2	TNerveHino2Die::execute(TSpineBase<TLiveActor>*) const	99.892	556	0x80	0x80	0x0	15
mario/Enemy/namekuri	TNameKuri::calcRootMatrix()	99.444	928	0x160	0x128	0x38	94
mario/Enemy/namekuri	TNameKuri::setDeadAnm()	99.930	344	0x68	0x68	0x0	6
mario/Enemy/namekuri	TNameKuri::setMeltAnm()	99.930	344	0x68	0x68	0x0	6
mario/Enemy/pakkun	TPakkun::init(TLiveManager*)	99.947	680	0xb8	0xc0	-0x8	9
mario/Enemy/pakkun	TPakkunSeed::loadInit(TSpineEnemy*, const char*)	99.927	384	0xb0	0xb0	0x0	7
mario/Enemy/smallEnemy	TSmallEnemy::init(TLiveManager*)	99.934	908	0x128	0x128	0x0	15
mario/Enemy/smallEnemy	TSmallEnemy::genEventCoin()	99.648	772	0x100	0x108	-0x8	68
mario/Enemy/smallEnemy	TSmallEnemy::moveObject()	99.896	1116	0xb0	0xb0	0x0	29
mario/Enemy/smallEnemy	TSmallEnemy::receiveMessage(THitActor*, unsigned long)	99.936	560	0x58	0x28	0x30	9
mario/Enemy/spider	TSpider::bind(TLiveActor*)	99.590	1396	0x158	0x120	0x38	143
mario/Enemy/walker	calcFarthestVertex(const TBGCheckData*, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&)	99.807	456	0x70	0x58	0x18	22
mario/Enemy/bossgesso	TBossGesso::init(TLiveManager*)	99.866	2240	0x250	0x250	0x0	75
mario/Enemy/bossgesso	TNerveBGWait::execute(TSpineBase<TLiveActor>*) const	99.833	1028	0xa0	0xd0	-0x30	43
mario/Enemy/bossgesso	TNerveBGBeakDamage::execute(TSpineBase<TLiveActor>*) const	99.946	1408	0x158	0x158	0x0	19
mario/Enemy/bossgesso	TNerveBGTentacleDamage::execute(TSpineBase<TLiveActor>*) const	99.893	712	0x78	0x80	-0x8	19
mario/Enemy/bossgesso	TNerveBGDie::execute(TSpineBase<TLiveActor>*) const	99.898	1812	0x1c0	0x1c0	0x0	31
mario/Enemy/bossgesso	TNerveBGRoll::execute(TSpineBase<TLiveActor>*) const	99.927	1820	0xa8	0x158	-0xb0	33
mario/Enemy/elecNokonoko	TElecCarapace::loadInit(TSpineEnemy*, const char*)	99.911	496	0xa8	0xa8	0x0	11
mario/Enemy/elecNokonoko	TElecCarapace::shoot()	99.847	756	0xd0	0xd0	0x0	29
mario/Enemy/elecNokonoko	TElecCarapace::sendMessage()	99.944	504	0xa0	0xa8	-0x8	7
mario/Enemy/elecNokonoko	TNerveElecCarapaceReturn::execute(TSpineBase<TLiveActor>*) const	99.895	912	0xc0	0xb8	0x8	24
mario/Enemy/telesa	TTelesa::behaveToWater(THitActor*)	99.921	656	0x98	0x98	0x0	13
mario/Enemy/telesa	TTelesa::bind()	99.967	836	0xd0	0xd0	0x0	7
mario/Enemy/fireWanwan	TTailRubber::adjust()	99.586	1208	0xc0	0xb0	0x10	125
mario/Enemy/fireWanwan	TFireWanwanTailHit::moveRequest(const JGeometry::TVec3<float>&)	99.726	292	0x48	0x48	0x0	20
mario/Enemy/fireWanwan	TFireWanwan::behaveToWater(THitActor*)	99.916	904	0xe8	0x98	0x50	19
mario/Enemy/bosspakkun	TBPPolDrop::move()	99.846	780	0x70	0x30	0x40	30
mario/Enemy/bosspakkun	TBossPakkun::setGroundCollision()	99.988	332	0x60	0x60	0x0	1
mario/Enemy/bosspakkun	TNerveBPTumbleOut::execute(TSpineBase<TLiveActor>*) const	99.962	628	0xa0	0xa0	0x0	6
mario/Enemy/tobiPuku	TNerveTobiPukuBound::execute(TSpineBase<TLiveActor>*) const	99.921	456	0x68	0x60	0x8	9
mario/Enemy/tobiPuku	TNerveTobiPukuReturnLaunch::execute(TSpineBase<TLiveActor>*) const	99.826	596	0x70	0x70	0x0	26
mario/Enemy/tinkoopa	TTinKoopaPartsBase::initTinKoopaPartsBase()	99.842	480	0xa8	0xa8	0x0	19
mario/Enemy/bosswanwan	TBWPicket::moveRequest(const JGeometry::TVec3<float>&)	99.836	440	0x68	0x68	0x0	18
mario/Enemy/bosswanwan	TBWPicket::perform(unsigned long, JDrama::TGraphics*)	99.630	1328	0x1a0	0x138	0x68	123
mario/Enemy/bosswanwan	TBossWanwan::slideToCurPathNode(float, float)	99.931	696	0x90	0x90	0x0	12
mario/Enemy/bosswanwan	TNerveBWRoll::execute(TSpineBase<TLiveActor>*) const	99.912	320	0x100	0x38	0xc8	7
mario/Enemy/bosswanwan	TNerveBWWakeup::execute(TSpineBase<TLiveActor>*) const	99.881	404	0x48	0x58	-0x10	12
mario/Enemy/bosswanwan	TNerveBWJumpToBath::execute(TSpineBase<TLiveActor>*) const	99.707	820	0xa0	0x98	0x8	60
mario/Enemy/chuuhana	TChuuHana::reset()	99.784	388	0xa0	0xa0	0x0	21
mario/Enemy/chuuhana	TChuuHana::attackToMario()	99.954	612	0xc0	0xc0	0x0	7
mario/Enemy/chuuhana	TChuuHana::isCollidMove(THitActor*)	99.816	1020	0x118	0x128	-0x10	47
mario/Enemy/chuuhana	TChuuHana::bind()	99.962	744	0x88	0x88	0x0	7
mario/Enemy/chuuhana	TChuuHana::willFall(long)	99.836	512	0xd0	0xd0	0x0	21
mario/Enemy/chuuhana	TChuuHana::setGoal()	99.500	360	0xa0	0x90	0x10	45
mario/Enemy/chuuhana	TNerveChuuHanaForceJumped::execute(TSpineBase<TLiveActor>*) const	99.971	688	0xd8	0xd8	0x0	5
mario/Enemy/chuuhana	TNerveChuuHanaKeepBalance::execute(TSpineBase<TLiveActor>*) const	99.916	1004	0xf0	0xf0	0x0	21
mario/Enemy/igaiga	TRollEnemy::flagJump()	99.778	216	0x78	0x78	0x0	12
mario/Enemy/igaiga	TIgaigaManager::initSetEnemies()	99.787	188	0x98	0x20	0x78	10
mario/Enemy/igaiga	TIgaiga::walkBehavior(int, float)	99.718	412	0xc8	0x68	0x60	19
mario/Enemy/igaiga	TIgaiga::setMeltAnm()	99.850	612	0x90	0x90	0x0	23
mario/Enemy/igaiga	TGorogoro::walkBehavior(int, float)	99.905	756	0x150	0xb8	0x98	18
mario/Enemy/igaiga	TGorogoro::flagJump()	99.889	216	0x78	0x78	0x0	6
mario/Enemy/igaiga	TGorogoro::generateByGateKeeper(const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&)	99.955	1412	0xe8	0xe8	0x0	16
mario/Enemy/poihana	TPoiHanaManager::initSetEnemies()	99.725	160	0xe0	0x40	0xa0	11
mario/Enemy/poihana	TPoiHana::init(TLiveManager*)	99.981	644	0xd0	0xd0	0x0	3
mario/Enemy/poihana	TPoiHana::genEventCoin()	99.908	304	0x48	0x48	0x0	7
mario/Enemy/tamaNoko	TTamaNokoManager::initSetEnemies()	99.880	300	0xe0	0x38	0xa8	9
mario/Enemy/tamaNoko	TTamaNoko::walkBehavior(int, float)	99.841	1236	0x110	0xf8	0x18	49
mario/Enemy/tamaNoko	TTamaNoko::receiveMessage(THitActor*, unsigned long)	99.919	344	0x40	0x20	0x20	7
mario/Enemy/tamaNoko	TTamaNoko::landEffect()	99.713	808	0x90	0x80	0x10	58
mario/Enemy/bosstelesa	TBubble::appendEnemy()	99.872	532	0x50	0x40	0x10	17
mario/Enemy/bosstelesa	TBossTelesa::init(TLiveManager*)	99.932	1932	0x258	0x258	0x0	33
mario/Enemy/bosstelesa	TBossTelesa::moveObject()	99.926	2276	0x1d0	0x190	0x40	42
mario/Enemy/bosstelesa	TBossTelesa::genAttacker()	99.968	884	0x138	0x138	0x0	7
mario/Enemy/bosstelesa	TNerveBossTelesaDie::execute(TSpineBase<TLiveActor>*) const	99.980	2248	0x128	0xc8	0x60	11
mario/Enemy/bosstelesa	TNerveBossTelesaAppear::execute(TSpineBase<TLiveActor>*) const	99.971	972	0x80	0x58	0x28	7
mario/Enemy/bosstelesa	TNerveBossTelesaFallDemo::execute(TSpineBase<TLiveActor>*) const	99.967	492	0x68	0x68	0x0	4
mario/Enemy/bombhei	TBombHei::genEventCoin()	99.706	272	0x50	0x48	0x8	20
mario/Enemy/cannon	TCannon::moveObject()	99.907	732	0x80	0x80	0x0	17
mario/Enemy/cannon	TCannon::calcRootMatrix()	99.887	1164	0xf8	0xd0	0x28	33
mario/Enemy/cannon	TCannon::bombSet()	99.935	612	0x80	0x80	0x0	10
mario/Enemy/cannon	TCannon::setKillerGoalPoint()	99.896	576	0x80	0x80	0x0	15
mario/Enemy/cannon	TNerveCannonOpen::execute(TSpineBase<TLiveActor>*) const	99.921	456	0x60	0x58	0x8	9
mario/Enemy/cannon	TNerveCannonSearch::execute(TSpineBase<TLiveActor>*) const	99.905	1732	0x198	0x170	0x28	41
mario/Enemy/bosseel	TBEelTearsDrop::TBEelTearsDrop(TBEelTears*, int, SDLModelData*, const char*)	99.978	556	0x138	0x138	0x0	3
mario/Enemy/bosseel	TBossEelTooth::TBossEelTooth(unsigned char, TBossEel*, const char*, SDLModelData*, const char*)	99.942	552	0x110	0x110	0x0	8
mario/Enemy/bosseel	TNerveBossEelAppear::execute(TSpineBase<TLiveActor>*) const	99.919	844	0xa8	0x88	0x20	17
mario/Enemy/bosseel	TNerveBossEelOutWait::execute(TSpineBase<TLiveActor>*) const	99.964	1460	0xb0	0x80	0x30	13
mario/Enemy/bosseel	TNerveBossEelEat::execute(TSpineBase<TLiveActor>*) const	99.937	1588	0x118	0xc8	0x50	25
mario/Enemy/bosseel	TNerveBossEelDie::execute(TSpineBase<TLiveActor>*) const	99.955	1152	0x120	0xe0	0x40	13
mario/Enemy/killer	TFlyEnemy::fly()	99.952	580	0x78	0x78	0x0	7
mario/Enemy/hanasambo	TSamboFlowerManager::loadAfter()	99.987	952	0xc8	0xc8	0x0	3
mario/Enemy/hanasambo	TSamboFlowerManager::dropLeaf(JGeometry::TVec3<float>&, JGeometry::TVec3<float>&)	99.971	560	0x110	0x110	0x0	4
mario/Enemy/hanasambo	TSamboHead::attackToMario()	99.948	388	0x60	0x50	0x10	5
