pass	category	file	line	col	kind	message	tus_affected	sample_tu	source_line
p32	access-control	src/Enemy/elecNokonoko.cpp	82	56	error	'typedef const class TNerveBase<TLiveActor>* TSpineBase<TLiveActor>::Nerve' is private within this context	1	src/Enemy/elecNokonoko.cpp	TSpineBase<TLiveActor>::Nerve nerve)
p32	access-control	src/Enemy/elecNokonoko.cpp	91	59	error	'typedef const class TNerveBase<TLiveActor>* TSpineBase<TLiveActor>::Nerve' is private within this context	1	src/Enemy/elecNokonoko.cpp	TSpineBase<TLiveActor>::Nerve nerve)
p32	asm-function	src/JSystem/J3D/J3DGraphBase/J3DTransform.cpp	33	5	error	expected '(' before 'bool'	1	src/JSystem/J3D/J3DGraphBase/J3DTransform.cpp	asm bool J3DPSCalcInverseTranspose(register MtxPtr src, register ROMtxPtr dst)
p32	asm-function	src/JSystem/J3D/J3DGraphBase/J3DTransform.cpp	391	5	error	expected '(' before 'void'	1	src/JSystem/J3D/J3DGraphBase/J3DTransform.cpp	asm void J3DPSMtx33CopyFrom34(register MtxPtr src, register ROMtxPtr dst)
p32	asm-function	src/JSystem/J3D/J3DGraphBase/J3DTransform.cpp	414	5	error	expected '(' before 'void'	1	src/JSystem/J3D/J3DGraphBase/J3DTransform.cpp	asm void J3DPSMtxArrayCopy(register MtxPtr src, register MtxPtr dst,
p32	asm-function	src/JSystem/J3D/J3DGraphBase/J3DTransform.cpp	539	5	error	expected '(' before 'void'	1	src/JSystem/J3D/J3DGraphBase/J3DTransform.cpp	asm void J3DPSMtxArrayConcat(register Mtx fst, register Mtx snd,
p32	asm-function	src/MarioUtil/MathUtil.cpp	474	5	error	expected '(' before 'f32'	1	src/MarioUtil/MathUtil.cpp	asm f32 MsVECMag2(register Vec* v)
p32	asm-function	src/MarioUtil/MathUtil.cpp	491	5	error	expected '(' before 'void'	1	src/MarioUtil/MathUtil.cpp	asm void MsVECNormalize(register Vec* v1, register Vec* v2)
p32	case-include	include/JSystem/J3D/J3DGraphBase/J3DMaterial.hpp	7	10	fatal error	JSystem/J3d/J3DGraphBase/Blocks/J3DTevBlocks.hpp: No such file or directory	41	src/Camera/lensflare.cpp	#include <JSystem/J3d/J3DGraphBase/Blocks/J3DTevBlocks.hpp>
p32	case-include	src/Enemy/beam.cpp	1	10	fatal error	Enemy/beam.hpp: No such file or directory	1	src/Enemy/beam.cpp	#include <Enemy/beam.hpp>
p32	case-include	src/Enemy/hamukuri.cpp	26	10	fatal error	MSound/MSoundSe.hpp: No such file or directory	1	src/Enemy/hamukuri.cpp	#include <MSound/MSoundSe.hpp>
p32	case-include	src/GC2D/MessageUtil.cpp	1	10	fatal error	GC2d/MessageUtil.hpp: No such file or directory	1	src/GC2D/MessageUtil.cpp	#include <GC2d/MessageUtil.hpp>
p32	case-include	src/Map/MapEventSink.cpp	21	10	fatal error	Jsystem/JDrama/JDRNameRefGen.hpp: No such file or directory	1	src/Map/MapEventSink.cpp	#include <Jsystem/JDrama/JDRNameRefGen.hpp>
