unit	function	fuzzy	equiv-verdict	verdict	evidence
mario/Animal/Bird	load__11TAnimalBirdFR20JSUMemoryInputStream	99.96	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MSound/MSound	startMarioVoice__6MSoundFUlsUc	99.82	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MSound/MSoundScene	sortMaxTrans__9MSSceneSEFP3VecUcUc	99.27	DIFFERENT	EQUIVALENT	retail lwzx r25+r28 and ours lwz 0(r26) with r26=r25+r28 address the same slot (CSE of the index add)
mario/MSound/MSoundSE	getRandVol__Q214MSoundSESystem9MSRandVolFUl	99.29	DIFFERENT	EQUIVALENT	two independent lfs reordered; both builds load 0x1c(base+idx12) and 0x2c(base+idx10) into the same getRandom args
mario/MSound/MSoundSE	randPlay__Q214MSoundSESystem10MSRandPlayFUl	99.96	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MSound/MSoundSE	startSoundActorWithInfo__Q214MSoundSESystem8MSoundSEFUlPC3VecP3VecfUlUlPP8JAISoundUlUc	99.92	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MSound/MSoundSE	startSoundNpcActor__Q214MSoundSESystem8MSoundSEFUlPC3VecUlPP8JAISoundUlUc	99.72	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MSound/MSModBgm	xFadeBgm__10MSBgmXFadeFf	99.40	DIFFERENT	BUG, fix pending	getTiming 2nd test: retail `unk0 >= scTiming[i]` (fcmpo unk0,tab; cror gt|eq), ours `scTiming[i] >= unk0`; fix drops xFadeBgm 99.4->99.2, see pending-MSModBgm-xFadeBgm.patch
mario/Camera/CameraBGCheck	execWallCheck___15CPolarSubCameraFP3Vec	99.87	DIFFERENT	EQUIVALENT	retail reads the stack copy of 0x80..0x88(r28) it just made, ours reads the member directly; no store in between
mario/Camera/CameraChange	changeCamModeSub___15CPolarSubCameraFiib	99.61	UNSUPPORTED	EQUIVALENT	retail `bgt next; b L` vs ours `ble L`: one extra jump block, CFG otherwise isomorphic
mario/Camera/cameragc	loadAfter__15CPolarSubCameraFv	99.58	UNSUPPORTED	EQUIVALENT	C_MTXLookAt args identical; ours keeps this+0x1ec in r30
mario/Camera/lensglow	perform__9TLensGlowFUlPQ26JDrama9TGraphics	99.11	UNSUPPORTED	EQUIVALENT	int->float temps use swapped stack slots; inbetween args renamed consistently
mario/Enemy/conductor	genEnemyFromPollution__10TConductorFv	99.91	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Enemy/emario	load__7TEMarioFR20JSUMemoryInputStream	99.89	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
