==========================================================================================
COMPLETE TParams OFFSET-TO-NAME MAPPING TABLE
==========================================================================================
OFFSET   PARAM_NAME                                              DEFAULT_VALUE
------   ----------                                              -------------
  --- mDeParams (TDeParams) @ base 0x0574 ---
0x058C   mDeParams.mHpMax                                        8
0x05A0   mDeParams.mRunningMax                                   45.0f
0x05B4   mDeParams.mDashMax                                      60.0f
0x05C8   mDeParams.mDashAcc                                      0.5f
0x05DC   mDeParams.mDashBrake                                    0.8f
0x05F0   mDeParams.mDashStartTime                                0x78
0x0604   mDeParams.mWaitingRotSp                                 0x100
0x0618   mDeParams.mRunningRotSpMin                              0x200
0x062C   mDeParams.mRunningRotSpMax                              0x400
0x0640   mDeParams.mRocketRotSp                                  0x100
0x0654   mDeParams.mPumpingRotSpMin                              0x100
0x0668   mDeParams.mPumpingRotSpMax                              0x200
0x067C   mDeParams.mInvincibleTime                               0x14
0x0690   mDeParams.mFootPrintTimerMax                            0x208
0x06A4   mDeParams.mWaterTriggerRate                             1
0x06B8   mDeParams.mGraffitoNoDmgTime                            10
0x06CC   mDeParams.mRestMax                                      0xff
0x06E0   mDeParams.mShadowSize                                   200.0f
0x06F4   mDeParams.mShadowErase                                  0.2f
0x0708   mDeParams.mHoldRadius                                   100.0f
0x071C   mDeParams.mDamageRadius                                 42.0f
0x0730   mDeParams.mDamageHeight                                 110.0f
0x0744   mDeParams.mAttackHeight                                 50.0f
0x0758   mDeParams.mTrampleRadius                                100.0f
0x076C   mDeParams.mPushupRadius                                 100.0f
0x0780   mDeParams.mPushupHeight                                 200.0f
0x0794   mDeParams.mHipdropRadius                                250.0f
0x07A8   mDeParams.mQuakeRadius                                  500.0f
0x07BC   mDeParams.mQuakeHeight                                  500.0f
0x07D0   mDeParams.mTramplePowStep1                              30.0f
0x07E4   mDeParams.mTramplePowStep2                              40.0f
0x07F8   mDeParams.mTramplePowStep3                              50.0f
0x080C   mDeParams.mJumpWallHeight                               1000.0f
0x0820   mDeParams.mThrowPower                                   2.0f
0x0834   mDeParams.mSlipStart                                    0.342f
0x0848   mDeParams.mWasOnWaterSlip                               0.97f
0x085C   mDeParams.mInWaterSlip                                  0.9f
0x0870   mDeParams.mToroccoRotSp                                 1.0f
0x0884   mDeParams.mRecoverTimer                                 0xf0
0x0898   mDeParams.mHotTimer                                     0x4b0
0x08AC   mDeParams.mFeelDeep                                     500.0f
0x08C0   mDeParams.mDamageFallHeight                             1000.0f
0x08D4   mDeParams.mForceSlipAngle                               0.5f
0x08E8   mDeParams.mClashSpeed                                   50.0f
0x08FC   mDeParams.mHangWallMovableAngle                         0.3f
0x0910   mDeParams.mColMvMax                                     10.0f
0x0924   mDeParams.mNoFreezeTime                                 0x78
0x0938   mDeParams.mKickFreezeTime                               5
0x094C   mDeParams.mSurfStartFreezeTime                          0x78
0x0960   mDeParams.mSleepingCheckDist                            50.0f
0x0974   mDeParams.mSleepingCheckHeight                          30.0f
0x0988   mDeParams.mIllegalPlaneCtInc                            4
0x099C   mDeParams.mIllegalPlaneTime                             0x1e0
  --- mBodyAngleParamsFree (TBodyAngleParams) @ base 0x09A0 ---
0x09B8   mBodyAngleParamsFree.mHeadRot                           0.0f
0x09CC   mBodyAngleParamsFree.mWaistRoll                         0.0f
0x09E0   mBodyAngleParamsFree.mWaistPitch                        80.0f
0x09F4   mBodyAngleParamsFree.mWaistRollMax                      0
0x0A08   mBodyAngleParamsFree.mWaistPitchMax                     1000
0x0A1C   mBodyAngleParamsFree.mWaistAngleChangeRate              0.07f
  --- mBodyAngleParamsWaterGun (TBodyAngleParams) @ base 0x0A20 ---
0x0A38   mBodyAngleParamsWaterGun.mHeadRot                       0.0f
0x0A4C   mBodyAngleParamsWaterGun.mWaistRoll                     0.0f
